geoid_x,name,total_population,under_18_population,age_65_plus_population,asian_alone_population,black_alone_population,hispanic_or_latino_population,white_alone_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct,tract,block_group,pct_under_18,pct_65_plus,pct_hispanic,pct_asian,tract_geoid,geoid_y,food_biz_count,food_biz_per_1k,access_score,access_class,tract_lat,tract_lon
060855012002,Block Group 2; Census Tract 5012; Santa Clara County; California,1152,178,63,198,38,624,293,137031,0,0,,,501200,2,15.5,5.5,54.2,17.2,06085501200,06085501200,4,0.96,10,highly_underserved,37.3465601,-121.8787471
060855012003,Block Group 3; Census Tract 5012; Santa Clara County; California,1097,124,114,111,98,628,211,109457,0,0,,,501200,3,11.3,10.4,57.2,10.1,06085501200,06085501200,4,0.96,10,highly_underserved,37.3465601,-121.8787471
060855012004,Block Group 4; Census Tract 5012; Santa Clara County; California,1277,150,44,211,0,469,693,118333,0,0,,,501200,4,11.7,3.4,36.7,16.5,06085501200,06085501200,4,0.96,10,highly_underserved,37.3465601,-121.8787471
060855013001,Block Group 1; Census Tract 5013; Santa Clara County; California,1585,140,147,342,55,665,608,106689,0,0,,,501300,1,8.8,9.3,42.0,21.6,06085501300,06085501300,17,4.32,9,highly_underserved,37.3387146,-121.8745424
060855013002,Block Group 2; Census Tract 5013; Santa Clara County; California,1196,90,201,108,27,283,902,49318,0,0,,,501300,2,7.5,16.8,23.7,9.0,06085501300,06085501300,17,4.32,9,highly_underserved,37.3387146,-121.8745424
060855013003,Block Group 3; Census Tract 5013; Santa Clara County; California,1151,137,176,247,117,162,634,250001,0,0,,,501300,3,11.9,15.3,14.1,21.5,06085501300,06085501300,17,4.32,9,highly_underserved,37.3387146,-121.8745424
060855014011,Block Group 1; Census Tract 5014.01; Santa Clara County; California,1723,504,205,268,74,1122,263,62355,0,0,,,501401,1,29.3,11.9,65.1,15.6,06085501401,06085501401,26,8.96,8,underserved,37.3514873,-121.8697601
060855014012,Block Group 2; Census Tract 5014.01; Santa Clara County; California,1179,283,289,109,10,774,279,104688,0,0,,,501401,2,24.0,24.5,65.6,9.2,06085501401,06085501401,26,8.96,8,underserved,37.3514873,-121.8697601
060855014021,Block Group 1; Census Tract 5014.02; Santa Clara County; California,1564,268,376,237,18,717,579,91638,0,0,,,501402,1,17.1,24.0,45.8,15.2,06085501402,06085501402,13,4.81,9,highly_underserved,37.3453341,-121.8665169
060855014022,Block Group 2; Census Tract 5014.02; Santa Clara County; California,1139,146,142,98,11,737,299,101607,0,0,,,501402,2,12.8,12.5,64.7,8.6,06085501402,06085501402,13,4.81,9,highly_underserved,37.3453341,-121.8665169
060855015011,Block Group 1; Census Tract 5015.01; Santa Clara County; California,2882,706,465,1185,0,1403,177,81571,0,0,,,501501,1,24.5,16.1,48.7,41.1,06085501501,06085501501,4,0.91,10,highly_underserved,37.3416169,-121.8583144
060855015012,Block Group 2; Census Tract 5015.01; Santa Clara County; California,1521,355,124,278,88,963,215,82917,0,0,,,501501,2,23.3,8.2,63.3,18.3,06085501501,06085501501,4,0.91,10,highly_underserved,37.3416169,-121.8583144
