geoid,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
60855029061,502906,1,1369,339,99,608,11,222,392,110804,0,0,,
60855029062,502906,2,1946,605,184,1136,0,583,179,202222,0,0,,
60855029063,502906,3,1706,244,335,772,59,427,417,117813,0,0,,
60855029071,502907,1,1618,323,216,966,69,349,203,203646,0,0,,
60855029072,502907,2,2204,492,462,1031,78,517,345,226875,0,0,,
60855029081,502908,1,2749,686,216,965,0,585,922,136378,0,0,,
60855029082,502908,2,2175,531,367,915,0,949,146,177750,0,0,,
60855029083,502908,3,1637,318,261,1024,4,489,133,250001,0,0,,
60855029091,502909,1,1149,251,57,636,0,357,301,220333,0,0,,
60855029092,502909,2,1042,335,232,884,0,73,138,140855,0,0,,
60855029093,502909,3,1426,540,67,412,21,153,961,90938,0,0,,
60855029094,502909,4,1195,42,343,500,58,127,463,90192,0,0,,
60855029101,502910,1,860,279,103,414,3,294,167,121379,0,0,,
60855029102,502910,2,962,147,130,569,0,25,335,187000,0,0,,
60855029103,502910,3,835,299,24,119,0,35,622,162887,0,0,,
60855029104,502910,4,1128,282,205,384,10,222,389,86303,0,0,,
60855030011,503001,1,1240,258,396,860,0,126,165,141667,0,0,,
60855030012,503001,2,937,188,191,767,0,97,108,150625,0,0,,
60855030013,503001,3,2253,691,460,1472,0,448,308,149917,0,0,,
60855030021,503002,1,1331,263,179,437,58,276,526,121970,0,0,,
60855030022,503002,2,2304,400,761,1305,6,321,453,172794,0,0,,
60855030031,503003,1,1672,413,275,898,0,438,218,189844,0,0,,
60855030032,503003,2,1905,368,208,1154,0,513,460,162083,0,0,,
60855030033,503003,3,1450,244,165,639,4,498,231,250001,0,0,,
60855031051,503105,1,2012,383,391,309,1,1249,531,61838,0,0,,
60855031101,503110,1,1488,489,64,47,21,255,1077,82102,0,0,,
60855031102,503110,2,983,312,46,64,0,377,577,58125,0,0,,
60855031103,503110,3,1146,374,114,58,172,276,708,83036,0,0,,
60855031111,503111,1,1608,647,114,10,155,190,1185,128983,0,0,,
60855031112,503111,2,1379,317,162,146,0,739,488,136750,0,0,,
60855031113,503111,3,2431,461,563,44,3,1255,1137,134451,0,0,,
60855031121,503112,1,1322,289,346,157,5,570,577,35438,0,0,,
60855031122,503112,2,1068,136,89,349,13,151,681,89122,0,0,,
60855031123,503112,3,1588,246,62,278,312,257,732,79931,0,0,,
60855031131,503113,1,2488,341,334,614,48,201,1633,93313,0,0,,
60855031132,503113,2,1540,417,170,250,0,150,1252,113028,0,0,,
60855031161,503116,1,2809,639,243,1020,9,778,1082,164489,0,0,,
60855031162,503116,2,2035,258,654,585,263,800,557,80313,0,0,,
60855031163,503116,3,1552,210,278,569,253,504,101,110156,0,0,,
60855031171,503117,1,1174,304,117,17,7,396,721,74464,0,0,,
60855031172,503117,2,1428,313,308,58,0,689,648,92000,0,0,,
60855031181,503118,1,674,20,134,0,70,352,248,95568,0,0,,
60855031182,503118,2,1864,413,73,309,96,560,884,146058,0,0,,
60855031183,503118,3,2417,645,68,100,36,303,1735,89865,0,0,,
60855031211,503121,1,1065,298,188,106,211,293,466,65972,0,0,,
60855031212,503121,2,2430,632,289,229,171,449,1613,101600,0,0,,
60855031213,503121,3,1578,467,134,64,0,121,1380,98625,0,0,,
60855031221,503122,1,2303,479,465,288,20,1304,552,43250,0,0,,
60855031222,503122,2,1042,250,119,47,9,497,442,-666666666,0,0,,
60855031231,503123,1,1745,407,152,424,30,312,1003,102530,0,0,,
60855031232,503123,2,2127,434,359,394,253,334,1231,42250,0,0,,
60855031241,503124,1,2775,418,481,635,73,808,1267,130485,0,0,,
60855031242,503124,2,1437,493,114,66,116,627,628,-666666666,0,0,,
60855031243,503124,3,1863,731,49,477,399,397,669,102274,0,0,,
60855031251,503125,1,2579,678,73,891,41,988,660,145060,0,0,,
60855031252,503125,2,1503,314,165,884,63,232,203,190724,0,0,,
60855031261,503126,1,3964,1108,335,1077,546,1728,1193,178929,0,0,,
60855031271,503127,1,1898,244,221,461,101,917,423,190547,0,0,,
60855031272,503127,2,3402,510,461,780,291,1974,102,221100,0,0,,
60855032071,503207,1,1859,279,363,112,147,1319,284,171389,0,0,,
60855032072,503207,2,1587,244,460,284,30,1106,278,128056,0,0,,
60855032081,503208,1,1609,400,136,423,14,275,1260,128750,0,0,,
60855032082,503208,2,1573,294,287,116,4,840,642,204583,0,0,,
60855032101,503210,1,2631,418,249,272,19,1418,1007,121875,0,0,,
60855032102,503210,2,1436,183,276,85,190,773,414,117386,0,0,,
60855032111,503211,1,2869,610,419,282,26,1710,877,102823,0,0,,
60855032112,503211,2,1782,333,383,198,78,815,613,139091,0,0,,
60855032121,503212,1,1621,139,273,120,7,1028,443,101750,0,0,,
60855032122,503212,2,1237,187,260,127,0,641,244,143056,0,0,,
60855032123,503212,3,1368,352,247,26,7,1065,235,205093,0,0,,
60855032131,503213,1,2198,667,340,46,4,1604,525,70833,0,0,,
60855032132,503213,2,2722,596,305,198,31,1610,846,77212,0,0,,
60855032171,503217,1,1499,402,135,159,0,182,1315,102857,0,0,,
60855032172,503217,2,749,193,120,22,0,215,412,77237,0,0,,
60855032173,503217,3,1421,384,142,159,14,468,937,81071,0,0,,
60855032181,503218,1,1571,344,124,48,0,396,1100,117333,0,0,,
60855032182,503218,2,1267,397,135,90,78,244,913,37014,0,0,,
60855032183,503218,3,1389,361,259,142,0,86,1251,118681,0,0,,
60855032191,503219,1,1042,112,123,59,244,417,383,65893,0,0,,
60855032192,503219,2,1696,456,209,154,20,652,870,56976,0,0,,
60855032201,503220,1,1759,491,96,127,2,550,1013,155163,0,0,,
60855032202,503220,2,2016,231,310,181,0,995,839,103558,0,0,,
60855032203,503220,3,916,254,124,42,91,303,493,52607,0,0,,
60855032211,503221,1,1145,229,405,64,15,858,169,29250,0,0,,
60855032212,503221,2,1288,206,208,54,0,871,386,113993,0,0,,
60855032221,503222,1,2651,437,280,53,0,1223,1383,125883,0,0,,
60855032222,503222,2,2783,813,318,62,0,1019,1685,79875,0,0,,
60855033041,503304,1,1910,242,426,208,86,885,812,44167,0,0,,
60855033042,503304,2,2759,593,655,219,11,1603,1051,108889,0,0,,
60855033043,503304,3,1260,346,236,21,23,863,352,174189,0,0,,
60855033044,503304,4,637,42,275,65,23,401,145,75601,0,0,,
60855033051,503305,1,1244,135,321,51,70,883,250,116635,0,0,,
60855033052,503305,2,2999,808,455,230,0,1246,1661,106996,0,0,,
60855033053,503305,3,1631,212,454,71,0,1103,410,47935,0,0,,
60855033061,503306,1,950,150,175,135,0,701,109,83300,0,0,,
60855033062,503306,2,1902,359,258,38,9,654,1176,121522,0,0,,
60855033063,503306,3,1000,132,121,59,1,576,392,136563,0,0,,
60855033121,503312,1,626,182,87,237,64,141,191,141932,0,0,,
60855033122,503312,2,1879,337,434,465,317,772,333,191727,0,0,,
60855033123,503312,3,1045,387,98,49,88,220,688,162414,0,0,,
60855033131,503313,1,1558,334,214,125,12,1290,48,250001,0,0,,
60855033132,503313,2,1550,265,467,175,15,1206,240,219615,0,0,,
60855033133,503313,3,1341,341,239,336,48,655,314,172500,0,0,,
60855033151,503315,1,2090,326,419,112,0,1530,465,166574,0,0,,
60855033152,503315,2,903,104,199,217,0,418,239,67386,0,0,,
60855033153,503315,3,3105,686,279,555,140,1529,1247,158594,0,0,,
60855033154,503315,4,1724,395,247,119,0,1355,263,145481,0,0,,
60855033211,503321,1,2130,340,485,157,2,1506,527,149722,0,0,,
60855033212,503321,2,2221,267,497,176,3,1738,365,183990,0,0,,
60855033221,503322,1,1610,343,253,198,126,447,936,138913,0,0,,
60855033222,503322,2,1757,271,380,198,0,1325,239,150625,0,0,,
60855033223,503322,3,1139,85,163,159,0,416,607,154387,0,0,,
60855033231,503323,1,1555,335,318,169,25,1059,256,179000,0,0,,
60855033232,503323,2,2254,406,319,182,10,1301,779,167803,0,0,,
60855033241,503324,1,1838,251,295,99,50,1306,335,148571,0,0,,
60855033242,503324,2,1495,324,398,147,15,1185,113,171410,0,0,,
60855033251,503325,1,2250,552,466,332,0,1357,558,145302,0,0,,
60855033252,503325,2,2228,585,189,89,0,1830,297,181346,0,0,,
