business_id,name,address,city,postal_code,lat,lon,tract_geoid,median_household_income,poverty_rate_pct,access_class,access_score
PR0306086,MANTRA INDIA,288 CASTRO ST,Mountain View,94041,37.3928889,-122.079852,06085509600,188676,14.7,underserved,6
PR0306087,COM TAM DAT THANH,1055 TULLY RD A,San Jose,95122,37.314454,-121.838215,06085503118,98527,7.0,underserved,7
PR0306088,MICHAEL'S AT SHORELINE,2960 N SHORELINE BL,Mountain View,94043,37.430978,-122.085207,06085504601,74250,10.1,underserved,7
PR0306089,DOMINO'S PIZZA,5313 PROSPECT RD,San Jose,95129,37.2922931,-121.9957124,06085506202,189032,3.8,moderate,5
PR0306091,PIZZA MY HEART,117 E SAN CARLOS ST,San Jose,95112,37.333296,-121.884727,06085500901,72112,35.8,highly_underserved,9
PR0306092,NEW PORT RESTAURANT,1686 S WOLFE RD,Sunnyvale,94087,37.338529,-122.013698,06085508206,250001,3.5,moderate,4
PR0306095,DENNY'S,2201 S BASCOM AV,Campbell,95008,37.2832549,-121.932242,06085502604,110581,4.8,moderate,5
PR0306096,NAAN-N-MASALA,161 S SUNNYVALE AV,Sunnyvale,94086,37.3764763,-122.0291512,06085508602,180959,7.9,underserved,6
PR0306097,METRO BALDERAS TAQUERIA,688 ALMADEN AV,San Jose,95110,37.3240061,-121.885964,06085501700,94736,13.1,underserved,8
PR0306100,CREASIAN CUISINE,207 W MAIN AV,Morgan Hill,95037,37.1281243,-121.6584897,06085512314,152349,7.8,underserved,6
PR0306103,GENERAL NUTRITION CENTER #3384,430 N CAPITOL AV,San Jose,95133,37.37315,-121.845679,06085503804,141289,6.3,underserved,7
PR0306109,SHANG CAFE,6154 BOLLINGER RD,San Jose,95129,37.308731,-122.012439,06085507903,223571,2.5,moderate,3
PR0306110,SUBWAY,670 RIVER OAKS PY # M,San Jose,95134,37.398199,-121.9238472,06085505006,240086,6.6,moderate,4
PR0306112,HOUSE OF BAGELS OF MOUNTAIN VIEW,1712 MIRAMONTE AV D,Mountain View,94040,37.373027,-122.0870878,06085509901,250001,1.6,well_served,0
PR0306113,JIMMY V'S SPORTS CENTER,641 CAMPUS DR,Stanford,943056150,37.4200992,-122.169802,06085511608,42824,35.8,highly_underserved,9
PR0306114,DIO DEKA,210 E MAIN ST,Los Gatos,95030,37.2211245,-121.9772753,06085507004,175347,8.3,moderate,5
PR0306116,KD LIQUOR,8401 CHURCH ST A,Gilroy,95020,37.019508,-121.577346,06085512514,111250,7.5,highly_underserved,10
PR0306118,GREAT GAS STEVENS CREEK INC,2211 STEVENS CREEK BL,San Jose,95128,37.323479,-121.932551,06085502001,94794,13.4,highly_underserved,9
PR0306119,NOX COOKIE BAR,422 E CAMPBELL AV,Campbell,95008,37.287007,-121.942317,06085506502,143500,5.0,moderate,3
PR0306120,CHEF P'S RESTAURANT,22 N JACKSON AV,San Jose,95116,37.3590533,-121.8440201,06085503712,50612,27.0,highly_underserved,11
PR0306122,ANALOG DEVICES INC,160 RIO ROBLES,San Jose,95134,37.4054899,-121.9499774,06085505012,218750,0.8,well_served,2
