geoid,name,state,county,tract,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
06085500100,Census Tract 5001; Santa Clara County; California,06,085,500100,8285,1595,929,1235,17,983,150,163061,2987,145,4.85,6.0
06085502204,Census Tract 5022.04; Santa Clara County; California,06,085,502204,3394,1067,293,1140,0,949,9,68508,1149,161,14.01,19.2
06085502301,Census Tract 5023.01; Santa Clara County; California,06,085,502301,3021,501,540,1647,0,1288,7,177692,1140,23,2.02,2.5
06085502302,Census Tract 5023.02; Santa Clara County; California,06,085,502302,3261,608,491,1477,0,1157,70,127175,1325,56,4.23,1.7
06085502400,Census Tract 5024; Santa Clara County; California,06,085,502400,7107,1505,1385,4604,0,3214,2,222311,2677,57,2.13,6.8
06085502500,Census Tract 5025; Santa Clara County; California,06,085,502500,6748,1604,962,3883,0,3061,66,225694,2479,17,0.69,4.6
06085502601,Census Tract 5026.01; Santa Clara County; California,06,085,502601,3329,732,866,1695,0,1263,10,193125,1397,179,12.81,3.4
06085502603,Census Tract 5026.03; Santa Clara County; California,06,085,502603,2816,555,589,1852,0,1546,7,206125,1067,28,2.62,7.2
06085502604,Census Tract 5026.04; Santa Clara County; California,06,085,502604,4112,674,470,1978,55,1435,15,110581,2079,47,2.26,4.8
06085502701,Census Tract 5027.01; Santa Clara County; California,06,085,502701,5691,1521,619,2471,0,1628,48,133658,2123,72,3.39,7.4
06085502703,Census Tract 5027.03; Santa Clara County; California,06,085,502703,4296,981,643,1743,0,1397,6,145541,1688,27,1.6,10.8
06085502704,Census Tract 5027.04; Santa Clara County; California,06,085,502704,4265,1019,747,1597,0,1095,14,183214,1552,69,4.45,2.6
06085502800,Census Tract 5028; Santa Clara County; California,06,085,502800,4236,932,630,1927,0,1187,0,185962,1434,26,1.81,8.6
06085502901,Census Tract 5029.01; Santa Clara County; California,06,085,502901,6044,1318,683,3070,0,2233,71,135846,2210,101,4.57,8.0
06085502902,Census Tract 5029.02; Santa Clara County; California,06,085,502902,9050,2487,1305,5880,0,4245,16,207614,2991,94,3.14,2.3
06085502903,Census Tract 5029.03; Santa Clara County; California,06,085,502903,5318,1282,910,2921,0,2176,0,250001,1913,38,1.99,2.4
06085502906,Census Tract 5029.06; Santa Clara County; California,06,085,502906,5021,1188,618,2516,81,2029,51,126438,1657,43,2.6,6.7
06085502907,Census Tract 5029.07; Santa Clara County; California,06,085,502907,3822,815,678,1997,0,1535,7,213056,1338,11,0.82,5.8
06085502908,Census Tract 5029.08; Santa Clara County; California,06,085,502908,6561,1535,844,2904,0,2179,0,166382,2235,58,2.6,3.7
06085502909,Census Tract 5029.09; Santa Clara County; California,06,085,502909,4812,1168,699,2432,0,1861,16,101607,2012,52,2.58,5.8
06085502910,Census Tract 5029.10; Santa Clara County; California,06,085,502910,3785,1007,462,1486,0,1216,10,110091,1450,100,6.9,11.7
06085503001,Census Tract 5030.01; Santa Clara County; California,06,085,503001,4430,1137,1047,3099,50,2183,0,148750,1642,0,0.0,3.2
06085503002,Census Tract 5030.02; Santa Clara County; California,06,085,503002,3635,663,940,1742,0,1348,0,139863,1304,134,10.28,4.4
06085503003,Census Tract 5030.03; Santa Clara County; California,06,085,503003,5027,1025,648,2691,3,1929,0,207000,1788,35,1.96,2.6
06085503105,Census Tract 5031.05; Santa Clara County; California,06,085,503105,2012,383,391,309,0,237,1,61838,713,113,15.85,19.9
06085503110,Census Tract 5031.10; Santa Clara County; California,06,085,503110,3617,1175,224,169,0,78,21,77353,926,41,4.43,14.2
