geoid,name,state,county,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
060855001001,Block Group 1; Census Tract 5001; Santa Clara County; California,06,085,500100,1,1809,355,180,38,37,252,1217,131857,0,0,,
060855108021,Block Group 1; Census Tract 5108.02; Santa Clara County; California,06,085,510802,1,957,242,200,471,0,302,40,250001,0,0,,
060855108022,Block Group 2; Census Tract 5108.02; Santa Clara County; California,06,085,510802,2,1057,291,206,617,0,385,8,250001,0,0,,
060855108031,Block Group 1; Census Tract 5108.03; Santa Clara County; California,06,085,510803,1,1935,520,405,984,0,731,204,250001,0,0,,
060855108032,Block Group 2; Census Tract 5108.03; Santa Clara County; California,06,085,510803,2,1471,346,158,414,0,891,106,250001,0,0,,
060855109001,Block Group 1; Census Tract 5109; Santa Clara County; California,06,085,510900,1,1729,447,363,887,0,725,73,141016,0,0,,
060855109002,Block Group 2; Census Tract 5109; Santa Clara County; California,06,085,510900,2,1676,350,398,759,0,551,162,227273,0,0,,
060855109003,Block Group 3; Census Tract 5109; Santa Clara County; California,06,085,510900,3,1026,102,94,319,66,506,44,213750,0,0,,
060855110001,Block Group 1; Census Tract 5110; Santa Clara County; California,06,085,511000,1,1498,444,256,672,0,713,96,155714,0,0,,
060855110002,Block Group 2; Census Tract 5110; Santa Clara County; California,06,085,511000,2,1204,283,291,591,0,277,165,227500,0,0,,
060855110003,Block Group 3; Census Tract 5110; Santa Clara County; California,06,085,511000,3,714,218,71,163,0,420,113,250001,0,0,,
060855110004,Block Group 4; Census Tract 5110; Santa Clara County; California,06,085,511000,4,2338,812,171,582,31,1650,101,250001,0,0,,
060855110005,Block Group 5; Census Tract 5110; Santa Clara County; California,06,085,511000,5,1426,322,257,603,0,694,0,250001,0,0,,
060855111001,Block Group 1; Census Tract 5111; Santa Clara County; California,06,085,511100,1,1735,276,383,1029,8,571,73,237955,0,0,,
060855111002,Block Group 2; Census Tract 5111; Santa Clara County; California,06,085,511100,2,1167,259,277,517,0,559,16,250001,0,0,,
060855111003,Block Group 3; Census Tract 5111; Santa Clara County; California,06,085,511100,3,1257,276,304,405,0,769,57,181250,0,0,,
060855111004,Block Group 4; Census Tract 5111; Santa Clara County; California,06,085,511100,4,1220,278,254,530,0,457,24,250001,0,0,,
060855112001,Block Group 1; Census Tract 5112; Santa Clara County; California,06,085,511200,1,1465,312,176,977,0,360,41,250001,0,0,,
060855112002,Block Group 2; Census Tract 5112; Santa Clara County; California,06,085,511200,2,1319,353,222,646,0,443,153,250001,0,0,,
060855112003,Block Group 3; Census Tract 5112; Santa Clara County; California,06,085,511200,3,982,215,162,587,34,222,134,250001,0,0,,
060855112004,Block Group 4; Census Tract 5112; Santa Clara County; California,06,085,511200,4,999,235,203,628,16,252,7,250001,0,0,,
060855113011,Block Group 1; Census Tract 5113.01; Santa Clara County; California,06,085,511301,1,1627,279,262,1088,0,307,122,250001,0,0,,
060855113012,Block Group 2; Census Tract 5113.01; Santa Clara County; California,06,085,511301,2,1571,338,362,852,93,254,134,227344,0,0,,
060855113013,Block Group 3; Census Tract 5113.01; Santa Clara County; California,06,085,511301,3,965,68,230,441,211,116,45,144000,0,0,,
060855113021,Block Group 1; Census Tract 5113.02; Santa Clara County; California,06,085,511302,1,1262,119,702,667,18,369,153,31144,0,0,,
060855113022,Block Group 2; Census Tract 5113.02; Santa Clara County; California,06,085,511302,2,428,86,60,208,0,100,0,250001,0,0,,
060855113023,Block Group 3; Census Tract 5113.02; Santa Clara County; California,06,085,511302,3,359,0,89,311,0,47,1,-666666666,0,0,,
060855113024,Block Group 4; Census Tract 5113.02; Santa Clara County; California,06,085,511302,4,1831,398,291,593,0,564,624,233803,0,0,,
060855114001,Block Group 1; Census Tract 5114; Santa Clara County; California,06,085,511400,1,740,160,67,179,0,447,38,250001,0,0,,
060855114002,Block Group 2; Census Tract 5114; Santa Clara County; California,06,085,511400,2,1063,276,277,607,4,412,41,250001,0,0,,
060855114003,Block Group 3; Census Tract 5114; Santa Clara County; California,06,085,511400,3,770,221,149,433,0,211,0,250001,0,0,,
060855114004,Block Group 4; Census Tract 5114; Santa Clara County; California,06,085,511400,4,1035,212,244,740,0,219,0,250001,0,0,,
060855115011,Block Group 1; Census Tract 5115.01; Santa Clara County; California,06,085,511501,1,743,170,169,551,0,154,0,250001,0,0,,
060855115012,Block Group 2; Census Tract 5115.01; Santa Clara County; California,06,085,511501,2,2033,365,314,894,213,760,108,109853,0,0,,
060855115013,Block Group 3; Census Tract 5115.01; Santa Clara County; California,06,085,511501,3,1904,407,243,1113,18,498,81,217303,0,0,,
060855115021,Block Group 1; Census Tract 5115.02; Santa Clara County; California,06,085,511502,1,1045,209,218,881,4,53,45,250001,0,0,,
060855115022,Block Group 2; Census Tract 5115.02; Santa Clara County; California,06,085,511502,2,1977,100,457,1116,53,459,278,250001,0,0,,
060855116081,Block Group 1; Census Tract 5116.08; Santa Clara County; California,06,085,511608,1,216,0,0,80,0,136,0,40714,0,0,,
060855116082,Block Group 2; Census Tract 5116.08; Santa Clara County; California,06,085,511608,2,3100,34,0,1300,244,818,653,47813,0,0,,
060855116091,Block Group 1; Census Tract 5116.09; Santa Clara County; California,06,085,511609,1,3441,604,840,1603,65,1097,571,148365,0,0,,
060855117011,Block Group 1; Census Tract 5117.01; Santa Clara County; California,06,085,511701,1,1189,305,262,741,0,230,135,250001,0,0,,
060855117012,Block Group 2; Census Tract 5117.01; Santa Clara County; California,06,085,511701,2,2420,550,491,1664,0,457,188,250001,0,0,,
060855117013,Block Group 3; Census Tract 5117.01; Santa Clara County; California,06,085,511701,3,759,121,216,327,0,348,0,250001,0,0,,
060855117021,Block Group 1; Census Tract 5117.02; Santa Clara County; California,06,085,511702,1,2172,532,398,1182,0,806,38,250001,0,0,,
060855117022,Block Group 2; Census Tract 5117.02; Santa Clara County; California,06,085,511702,2,687,166,196,347,0,266,50,250001,0,0,,
060855117041,Block Group 1; Census Tract 5117.04; Santa Clara County; California,06,085,511704,1,2121,269,979,822,0,1130,57,250001,0,0,,
060855117042,Block Group 2; Census Tract 5117.04; Santa Clara County; California,06,085,511704,2,735,106,239,176,0,491,0,250001,0,0,,
060855117043,Block Group 3; Census Tract 5117.04; Santa Clara County; California,06,085,511704,3,1624,429,443,797,0,671,104,250001,0,0,,
060855117051,Block Group 1; Census Tract 5117.05; Santa Clara County; California,06,085,511705,1,2145,480,540,1278,26,588,162,250001,0,0,,
060855117071,Block Group 1; Census Tract 5117.07; Santa Clara County; California,06,085,511707,1,1851,179,776,817,90,788,50,197788,0,0,,
060855117072,Block Group 2; Census Tract 5117.07; Santa Clara County; California,06,085,511707,2,1196,279,427,895,0,201,39,250001,0,0,,
060855118001,Block Group 1; Census Tract 5118; Santa Clara County; California,06,085,511800,1,1725,281,356,1274,0,145,48,249097,0,0,,
060855118002,Block Group 2; Census Tract 5118; Santa Clara County; California,06,085,511800,2,1530,396,141,1158,0,45,294,163125,0,0,,
060855118003,Block Group 3; Census Tract 5118; Santa Clara County; California,06,085,511800,3,1034,210,135,903,0,26,61,127367,0,0,,
060855119051,Block Group 1; Census Tract 5119.05; Santa Clara County; California,06,085,511905,1,1504,388,242,611,21,782,39,250001,0,0,,
060855119052,Block Group 2; Census Tract 5119.05; Santa Clara County; California,06,085,511905,2,1580,392,306,778,0,711,72,250001,0,0,,
060855119071,Block Group 1; Census Tract 5119.07; Santa Clara County; California,06,085,511907,1,1793,442,305,523,0,1210,25,242976,0,0,,
060855119072,Block Group 2; Census Tract 5119.07; Santa Clara County; California,06,085,511907,2,2303,503,402,946,0,1027,249,250001,0,0,,
060855119101,Block Group 1; Census Tract 5119.10; Santa Clara County; California,06,085,511910,1,857,132,309,411,0,380,41,215000,0,0,,
060855119102,Block Group 2; Census Tract 5119.10; Santa Clara County; California,06,085,511910,2,774,107,155,471,0,250,39,221364,0,0,,
060855119103,Block Group 3; Census Tract 5119.10; Santa Clara County; California,06,085,511910,3,1361,355,213,807,0,315,89,250001,0,0,,
060855119111,Block Group 1; Census Tract 5119.11; Santa Clara County; California,06,085,511911,1,1872,279,535,1069,139,416,203,94773,0,0,,
060855119112,Block Group 2; Census Tract 5119.11; Santa Clara County; California,06,085,511911,2,820,100,153,620,26,120,110,158295,0,0,,
