geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score
06085502002,Census Tract 5020.02; Santa Clara County; California,4985,117969,12.8,8.2,8,2,0,0,0.25,0.4012036108324975,9.1285
06085501402,Census Tract 5014.02; Santa Clara County; California,2703,94491,15.4,6.08,13,8,0,1,0.6153846153846154,2.959674435812061,9.125575
06085505013,Census Tract 5050.13; Santa Clara County; California,5637,215775,5.7,15.34,2,1,0,0,0.5,0.17739932588256166,9.061399999999999
06085504413,Census Tract 5044.13; Santa Clara County; California,1963,155982,7.2,15.92,12,2,0,4,0.16666666666666666,1.0188487009679064,9.008300000000002
06085512054,Census Tract 5120.54; Santa Clara County; California,4457,105292,12.0,7.45,0,0,0,0,,0.0,9.0075
06085505901,Census Tract 5059.01; Santa Clara County; California,4101,182763,4.9,18.77,24,4,1,4,0.16666666666666666,0.9753718605218239,8.97955
06085503601,Census Tract 5036.01; Santa Clara County; California,3524,98021,13.9,7.35,23,5,1,6,0.21739130434782608,1.4188422247446084,8.96846
06085503121,Census Tract 5031.21; Santa Clara County; California,5073,92607,13.3,7.77,46,4,0,9,0.08695652173913043,0.7884880741178789,8.95815
06085503708,Census Tract 5037.08; Santa Clara County; California,2530,103446,11.9,9.62,25,5,0,4,0.2,1.976284584980237,8.8232
06085501502,Census Tract 5015.02; Santa Clara County; California,4350,111089,11.7,9.47,7,4,1,0,0.5714285714285714,0.9195402298850575,8.796999999999999
06085503126,Census Tract 5031.26; Santa Clara County; California,3964,178929,11.8,7.09,3,0,1,0,0.0,0.0,8.7915
06085512603,Census Tract 5126.03; Santa Clara County; California,4877,90139,14.8,5.74,66,8,3,24,0.12121212121212122,1.6403526758253024,8.790925
06085509600,Census Tract 5096; Santa Clara County; California,3724,188676,14.7,5.61,97,5,0,23,0.05154639175257732,1.3426423200859292,8.72746
06085512043,Census Tract 5120.43; Santa Clara County; California,5266,81984,7.1,12.79,12,1,2,2,0.08333333333333333,0.189897455374098,8.7247
06085503124,Census Tract 5031.24; Santa Clara County; California,6075,124229,15.6,1.85,18,0,1,6,0.0,0.0,8.6675
06085506304,Census Tract 5063.04; Santa Clara County; California,5956,113893,11.8,6.73,11,0,1,2,0.0,0.0,8.665500000000002
06085509902,Census Tract 5099.02; Santa Clara County; California,5161,222955,10.9,10.41,33,11,0,3,0.3333333333333333,2.1313698895562876,8.642336363636364
06085501401,Census Tract 5014.01; Santa Clara County; California,2902,80216,7.9,14.25,26,6,0,2,0.23076923076923078,2.067539627842867,8.639233333333333
06085500600,Census Tract 5006; Santa Clara County; California,5748,140045,9.0,11.44,27,2,1,9,0.07407407407407407,0.34794711203897005,8.628799999999998
06085508708,Census Tract 5087.08; Santa Clara County; California,6682,250001,7.3,14.66,60,7,1,16,0.11666666666666667,1.047590541753966,8.606914285714286
06085503602,Census Tract 5036.02; Santa Clara County; California,4876,98611,7.9,13.62,18,4,0,4,0.2222222222222222,0.8203445447087777,8.5658
06085501901,Census Tract 5019.01; Santa Clara County; California,3126,147727,9.2,12.27,16,5,0,6,0.3125,1.599488163787588,8.55954
06085502203,Census Tract 5022.03; Santa Clara County; California,3875,125750,12.7,5.77,10,1,0,4,0.1,0.25806451612903225,8.5095
06085509303,Census Tract 5093.03; Santa Clara County; California,3565,175288,5.4,14.29,1,0,0,0,0.0,0.0,8.4315
06085503711,Census Tract 5037.11; Santa Clara County; California,4023,109167,16.5,1.72,10,2,0,2,0.2,0.49714143673875216,8.4293
06085503117,Census Tract 5031.17; Santa Clara County; California,2602,79205,10.2,10.38,31,3,3,3,0.0967741935483871,1.1529592621060722,8.396466666666665
06085509401,Census Tract 5094.01; Santa Clara County; California,4746,149258,7.7,13.03,16,3,1,3,0.1875,0.6321112515802781,8.341899999999999
06085512057,Census Tract 5120.57; Santa Clara County; California,4385,176016,9.6,8.57,6,0,0,1,0.0,0.0,8.3195
06085503110,Census Tract 5031.10; Santa Clara County; California,3617,77353,14.2,4.43,12,2,1,2,0.16666666666666666,0.552944429084877,8.3022
06085512019,Census Tract 5120.19; Santa Clara County; California,4380,122813,14.3,2.83,8,1,0,1,0.125,0.228310502283105,8.3015
06085505401,Census Tract 5054.01; Santa Clara County; California,6607,162000,14.4,3.23,43,2,4,9,0.046511627906976744,0.3027092477675193,8.2712
06085512042,Census Tract 5120.42; Santa Clara County; California,2830,111875,9.6,8.37,8,0,1,2,0.0,0.0,8.2495
06085501700,Census Tract 5017; Santa Clara County; California,4871,94736,13.1,5.34,42,3,0,13,0.07142857142857142,0.6158899609936358,8.088733333333332
06085504414,Census Tract 5044.14; Santa Clara County; California,5141,165761,11.2,7.03,19,2,1,1,0.10526315789473684,0.3890293717175647,8.014600000000002
06085502101,Census Tract 5021.01; Santa Clara County; California,5361,144038,11.3,5.41,10,0,1,2,0.0,0.0,7.9785
06085506505,Census Tract 5065.05; Santa Clara County; California,4187,115833,15.2,2.38,8,3,0,2,0.375,0.7165034631000716,7.952133333333333
06085503306,Census Tract 5033.06; Santa Clara County; California,3852,119091,10.4,7.91,17,2,0,6,0.11764705882352941,0.5192107995846313,7.833700000000001
06085502910,Census Tract 5029.10; Santa Clara County; California,3785,110091,11.7,6.9,43,8,1,9,0.18604651162790697,2.1136063408190227,7.7746249999999995
06085504002,Census Tract 5040.02; Santa Clara County; California,6376,92091,11.3,4.03,21,1,1,6,0.047619047619047616,0.15683814303638646,7.770700000000001
06085504318,Census Tract 5043.18; Santa Clara County; California,7989,106535,14.6,2.11,55,4,1,15,0.07272727272727272,0.5006884466140944,7.70795
06085504319,Census Tract 5043.19; Santa Clara County; California,5980,227279,10.3,6.67,28,2,1,7,0.07142857142857142,0.33444816053511706,7.5675
06085503401,Census Tract 5034.01; Santa Clara County; California,4073,111576,13.9,3.1,15,4,0,3,0.26666666666666666,0.9820770930518046,7.5436499999999995
06085509202,Census Tract 5092.02; Santa Clara County; California,4222,228462,10.4,7.33,18,3,0,5,0.16666666666666666,0.7105637138796779,7.526966666666667
06085504001,Census Tract 5040.01; Santa Clara County; California,4873,87364,11.2,6.16,22,3,0,7,0.13636363636363635,0.615637184485943,7.520866666666667
06085503113,Census Tract 5031.13; Santa Clara County; California,4028,95625,4.6,13.07,13,1,0,5,0.07692307692307693,0.24826216484607747,7.450099999999999
06085512310,Census Tract 5123.10; Santa Clara County; California,5234,100506,8.3,10.09,36,6,1,13,0.16666666666666666,1.146350783339702,7.440966666666667
06085504322,Census Tract 5043.22; Santa Clara County; California,5285,167583,14.2,2.22,31,4,0,8,0.12903225806451613,0.7568590350047304,7.4312499999999995
06085510803,Census Tract 5108.03; Santa Clara County; California,3406,250001,7.0,10.21,8,1,0,4,0.125,0.29359953024075164,7.4047
06085503116,Census Tract 5031.16; Santa Clara County; California,6396,109509,7.9,7.24,12,1,0,2,0.08333333333333333,0.15634771732332708,7.368200000000001
06085503511,Census Tract 5035.11; Santa Clara County; California,3560,125972,9.5,5.97,2,0,0,0,0.0,0.0,7.3645
06085512024,Census Tract 5120.24; Santa Clara County; California,5288,136168,8.8,8.66,41,3,2,9,0.07317073170731707,0.56732223903177,7.343533333333333
06085508707,Census Tract 5087.07; Santa Clara County; California,3907,173165,7.0,9.09,5,0,1,0,0.0,0.0,7.3315
