VENDOR                                                                                                                                                                                                    ,ADDRESS                                                                                                        ,SECOND ADDRESS                                              ,CITY                                                        ,ZIP  ,COUNTY                                                      ,LATITUDE               ,LONGITUDE
"ALBERTSONS #561"                                                                                                                                                                                         ,298 E LIVE OAK AVE                                                                                             ,                                                            ,Arcadia                                                     ,91006,Los Angeles                                                 ,34.10768               ,-118.023
"ALBERTSONS #594"                                                                                                                                                                                         ,220 EAST BONITA AVENUE                                                                                         ,                                                            ,San Dimas                                                   ,91773,Los Angeles                                                 ,34.10593               ,-117.8038
"ALBERTSONS #601"                                                                                                                                                                                         ,133 W ROUTE 66                                                                                                 ,                                                            ,Glendora                                                    ,91740,Los Angeles                                                 ,34.13007               ,-117.865
"ALBERTSONS #699"                                                                                                                                                                                         ,28090 S WESTERN AVE                                                                                            ,                                                            ,San Pedro                                                   ,90732,Los Angeles                                                 ,33.76471               ,-118.3099
"ALBERTSONS #802"                                                                                                                                                                                         ,16600 BOLSA CHICA ST                                                                                           ,                                                            ,Huntington Beach                                            ,92649,Orange                                                      ,33.72114               ,-118.0407
"ALBERTSONS #1105"                                                                                                                                                                                        ,8880 VALLEY VIEW ST                                                                                            ,                                                            ,Buena Park                                                  ,90620,Orange                                                      ,33.83398               ,-118.0273
"ALBERTSONS #110"                                                                                                                                                                                         ,7201 YORKTOWN AVE                                                                                              ,                                                            ,Huntington Beach                                            ,92648,Orange                                                      ,33.68089               ,-118.0028
"ALBERTSONS #819"                                                                                                                                                                                         ,1930 N PLACENTIA AVE                                                                                           ,                                                            ,Fullerton                                                   ,92831,Orange                                                      ,33.89008               ,-117.8723
"ALBERTSONS #724"                                                                                                                                                                                         ,19640 BEACH BLVD                                                                                               ,                                                            ,Huntington Beach                                            ,92648,Orange                                                      ,33.67728               ,-117.987
"ALBERTSONS #2141"                                                                                                                                                                                        ,2500 E IMPERIAL HWY STE 158                                                                                    ,                                                            ,Brea                                                        ,92821,Orange                                                      ,33.91061               ,-117.87
"ALBERTSONS #4145"                                                                                                                                                                                        ,6755 WESTMINSTER BLVD                                                                                          ,                                                            ,Westminster                                                 ,92683,Orange                                                      ,33.76046               ,-118.0089
"ALBERTSONS #1157"                                                                                                                                                                                        ,16061 BROOKHURST ST                                                                                            ,                                                            ,Fountain Valley                                             ,92708,Orange                                                      ,33.72905               ,-117.9567
"ALBERTSONS #158"                                                                                                                                                                                         ,1800 W WHITTIER BLVD                                                                                           ,                                                            ,La Habra                                                    ,90631,Orange                                                      ,33.93846               ,-117.9664
"ALBERTSONS #1165"                                                                                                                                                                                        ,2291 W MALVERN AVE                                                                                             ,                                                            ,Fullerton                                                   ,92833,Orange                                                      ,33.87855               ,-117.966
"ALBERTSONS #170"                                                                                                                                                                                         ,18579 BROOKHURST ST                                                                                            ,                                                            ,Fountain Valley                                             ,92708,Orange                                                      ,33.69297               ,-117.9561
"ALBERTSONS #194"                                                                                                                                                                                         ,810 S STATE COLLEGE BLVD                                                                                       ,                                                            ,Anaheim                                                     ,92806,Orange                                                      ,33.83122               ,-117.8885
"ALBERTSONS #597"                                                                                                                                                                                         ,4541 CAMPUS DRIVE                                                                                              ,                                                            ,Irvine                                                      ,92612,Orange                                                      ,33.65015               ,-117.8314
"ALBERTSONS #208"                                                                                                                                                                                         ,30242 GOLDEN LANTERN                                                                                           ,                                                            ,Laguna Niguel                                               ,92677,Orange                                                      ,33.52417               ,-117.6856
"ALBERTSONS #2509"                                                                                                                                                                                        ,804 AVENIDA PICO                                                                                               ,                                                            ,San Clemente                                                ,92673,Orange                                                      ,33.4427                ,-117.6139
"ALBERTSONS #3526"                                                                                                                                                                                        ,24251 MUIRLANDS BLVD                                                                                           ,                                                            ,Lake Forest                                                 ,92630,Orange                                                      ,33.63016               ,-117.7064
"ALBERTSONS #527"                                                                                                                                                                                         ,6601 QUAIL HILL PKWY                                                                                           ,                                                            ,Irvine                                                      ,92603,Orange                                                      ,33.65581               ,-117.7783
"ALBERTSONS #3534"                                                                                                                                                                                        ,940 N TUSTIN St                                                                                                ,                                                            ,Orange                                                      ,92867,Orange                                                      ,33.80322               ,-117.8376
"ALBERTSONS #2549"                                                                                                                                                                                        ,23072 ALICIA PKWY                                                                                              ,                                                            ,Mission Viejo                                               ,92692,Orange                                                      ,33.62759               ,-117.6358
"ALBERTSONS #2551"                                                                                                                                                                                        ,8440 EAST CHAPMAN AVENUE                                                                                       ,                                                            ,Orange                                                      ,92869,Orange                                                      ,33.79183               ,-117.7633
"ALBERTSONS #552"                                                                                                                                                                                         ,27702 CROWN VALLEY PKWY STE B                                                                                  ,                                                            ,Ladera Ranch                                                ,92694,Orange                                                      ,33.56359               ,-117.6462
"ALBERTSONS #2556"                                                                                                                                                                                        ,29941 ALICIA PKWY                                                                                              ,                                                            ,Laguna Niguel                                               ,92677,Orange                                                      ,33.52809               ,-117.7176
"ALBERTSONS #2558"                                                                                                                                                                                        ,33601 DEL OBISPO St.                                                                                           ,                                                            ,Dana Point                                                  ,92629,Orange                                                      ,33.47504               ,-117.6863
"ALBERTSONS #4563"                                                                                                                                                                                        ,989 AVENIDA PICO                                                                                               ,                                                            ,San Clemente                                                ,92673,Orange                                                      ,33.4568                ,-117.6033
"ALBERTSONS #3574"                                                                                                                                                                                        ,13270 NEWPORT AVE                                                                                              ,                                                            ,Tustin                                                      ,92780,Orange                                                      ,33.7452                ,-117.8128
"ALBERTSONS #1585"                                                                                                                                                                                        ,4550 E CHAPMAN AVE                                                                                             ,                                                            ,Orange                                                      ,92869,Orange                                                      ,33.78661               ,-117.8042
"ALBERTSONS #2591"                                                                                                                                                                                        ,14201 JEFFREY RD                                                                                               ,                                                            ,Irvine                                                      ,92620,Orange                                                      ,33.69529               ,-117.7654
"ALBERTSONS #0598"                                                                                                                                                                                        ,2000 E 17TH ST                                                                                                 ,                                                            ,Cowan Heights                                               ,92705,Orange                                                      ,33.75902               ,-117.8377
"ALBERTSONS #2514"                                                                                                                                                                                        ,8938 TRAUTWEIN RD                                                                                              ,                                                            ,Riverside                                                   ,92508,Riverside                                                   ,33.89034               ,-117.3229
"ALBERTSONS #0567"                                                                                                                                                                                        ,42095 WASHINGTON ST                                                                                            ,                                                            ,Palm Desert                                                 ,92211,Riverside                                                   ,33.74285               ,-116.3056
"ALBERTSONS #1569"                                                                                                                                                                                        ,1751 N SUNRISE WAY STE 1                                                                                       ,                                                            ,Palm Springs                                                ,92262,Riverside                                                   ,33.84749               ,-116.5294
"ALBERTSONS #2572"                                                                                                                                                                                        ,2975 VAN BUREN BLVD                                                                                            ,                                                            ,Riverside                                                   ,92503,Riverside                                                   ,33.90895               ,-117.4376
"ALBERTSONS #2586"                                                                                                                                                                                        ,40101 MONTEREY AVE                                                                                             ,                                                            ,Rancho Mirage                                               ,92270,Riverside                                                   ,33.75628               ,-116.3916
"ALBERTSONS #3587"                                                                                                                                                                                        ,840 E HOBSON WAY                                                                                               ,                                                            ,Blythe                                                      ,92225,Riverside                                                   ,33.60921               ,-114.5873
"ALBERTSONS #0609"                                                                                                                                                                                        ,28047 SCOTT ROAD                                                                                               ,                                                            ,Murrieta                                                    ,92562,Riverside                                                   ,33.63927               ,-117.1698
"ALBERTSONS #1641"                                                                                                                                                                                        ,7070 ARCHIBALD AVE                                                                                             ,                                                            ,Eastvale                                                    ,92880,Riverside                                                   ,33.95983               ,-117.5918
"ALBERTSONS #4706"                                                                                                                                                                                        ,30530 RANCHO CALIFORNIA RD                                                                                     ,                                                            ,Temecula                                                    ,92591,Riverside                                                   ,33.51019               ,-117.1273
"ALBERTSONS #0728"                                                                                                                                                                                        ,260 W FOOTHILL PKWY                                                                                            ,                                                            ,Corona                                                      ,92882,Riverside                                                   ,33.84364               ,-117.5743
"ALBERTSONS #0734"                                                                                                                                                                                        ,39140 WINCHESTER RD                                                                                            ,                                                            ,Murrieta                                                    ,92563,Riverside                                                   ,33.55088               ,-117.139
"ALBERTSONS #0735"                                                                                                                                                                                        ,23893 CLINTON KEITH ROAD                                                                                       ,                                                            ,Wildomar                                                    ,92595,Riverside                                                   ,33.59575               ,-117.2414
"ALBERTSONS #2743"                                                                                                                                                                                        ,41000 CALIFORNIA OAKS RD                                                                                       ,                                                            ,Murrieta                                                    ,92562,Riverside                                                   ,33.56706               ,-117.2036
"ALBERTSONS #753"                                                                                                                                                                                         ,31960 TEMECULA PKWY                                                                                            ,                                                            ,Rancho California                                           ,92592,Riverside                                                   ,33.4822                ,-117.1006
"ALBERTSONS #2796"                                                                                                                                                                                        ,1260 E ONTARIO AVE                                                                                             ,                                                            ,Corona                                                      ,92881,Riverside                                                   ,33.84706               ,-117.5424
"ALBERTSONS #0798"                                                                                                                                                                                        ,30901 RIVERSIDE DR                                                                                             ,                                                            ,Lake Elsinore                                               ,92530,Riverside                                                   ,33.68609               ,-117.367
"ALBERTSONS #3512"                                                                                                                                                                                        ,300 S HIGHLAND SPRINGS AVE STE 7                                                                               ,                                                            ,Banning                                                     ,92220,Riverside                                                   ,33.92414               ,-116.9464
"ALBERTSONS #3559"                                                                                                                                                                                        ,74590 HIGHWAY 111                                                                                              ,                                                            ,Palm Desert                                                 ,92260,Riverside                                                   ,33.72285               ,-116.3638
"ALBERTSONS #2303"                                                                                                                                                                                        ,7201 BOULDER AVE                                                                                               ,                                                            ,Highland                                                    ,92346,San Bernardino                                              ,34.12391               ,-117.1936
"ALBERTSONS #3513"                                                                                                                                                                                        ,20261 US HIGHWAY 18                                                                                            ,                                                            ,Apple Valley                                                ,92307,San Bernardino                                              ,34.50083               ,-117.1859
"ALBERTSONS #2515"                                                                                                                                                                                        ,3255 GRAND AVE                                                                                                 ,                                                            ,Chino Hills                                                 ,91709,San Bernardino                                              ,34.00167               ,-117.7342
"ALBERTSONS #1319"                                                                                                                                                                                        ,450 E CYPRESS AVE                                                                                              ,                                                            ,Redlands                                                    ,92373,San Bernardino                                              ,34.04847               ,-117.1713
"ALBERTSONS #3520"                                                                                                                                                                                        ,11358 KENYON WAY                                                                                               ,                                                            ,Alta Loma                                                   ,91701,San Bernardino                                              ,34.13559               ,-117.5572
"ALBERTSONS #3177"                                                                                                                                                                                        ,8850 FOOTHILL BLVD                                                                                             ,                                                            ,Rancho Cucamonga                                            ,91730,San Bernardino                                              ,34.10823               ,-117.6121
"ALBERTSONS #0524"                                                                                                                                                                                        ,12013 CENTRAL AVENUE                                                                                           ,                                                            ,Chino                                                       ,91710,San Bernardino                                              ,34.03481               ,-117.6883
"ALBERTSONS #3592"                                                                                                                                                                                        ,15970 LOS SERRANOS COUNTRY CLUB DRIVE                                                                          ,                                                            ,Chino Hills                                                 ,91709,San Bernardino                                              ,33.96147               ,-117.6955
"ALBERTSONS #0599"                                                                                                                                                                                        ,1910 N CAMPUS AVE                                                                                              ,                                                            ,Upland                                                      ,91784,San Bernardino                                              ,34.13118               ,-117.6376
"ALBERTSONS #3201"                                                                                                                                                                                        ,1301 E VISTA WAY                                                                                               ,                                                            ,Vista                                                       ,92084,San Diego                                                   ,33.21827               ,-117.2243
"ALBERTSONS #0704"                                                                                                                                                                                        ,2955 ALPINE BLVD                                                                                               ,                                                            ,Alpine                                                      ,91901,San Diego                                                   ,32.83302               ,-116.7503
"ALBERTSONS #1705"                                                                                                                                                                                        ,1570 W VALLEY PKWY                                                                                             ,                                                            ,Elfin Forest                                                ,92029,San Diego                                                   ,33.10873               ,-117.1058
"ALBERTSONS #707"                                                                                                                                                                                         ,7090 BROADWAY                                                                                                  ,                                                            ,Lemon Grove                                                 ,91945,San Diego                                                   ,32.7438                ,-117.0454
"ALBERTSONS #708"                                                                                                                                                                                         ,151 WOODLAND PKWY                                                                                              ,                                                            ,San Marcos                                                  ,92069,San Diego                                                   ,33.14005               ,-117.1384
"ALBERTSONS #710"                                                                                                                                                                                         ,8920 FLETCHER PKWY                                                                                             ,                                                            ,La Mesa                                                     ,91942,San Diego                                                   ,32.78627               ,-117.0054
"ALBERTSONS #711"                                                                                                                                                                                         ,1929 W SAN MARCOS BLVD                                                                                         ,                                                            ,San Marcos                                                  ,92078,San Diego                                                   ,33.1319                ,-117.2109
"ALBERTSONS #4713"                                                                                                                                                                                        ,1509 E VALLEY PKWY                                                                                             ,                                                            ,Escondido                                                   ,92027,San Diego                                                   ,33.13149               ,-117.0596
"ALBERTSONS #723"                                                                                                                                                                                         ,9831 CAMPO RD                                                                                                  ,                                                            ,Spring Valley                                               ,91977,San Diego                                                   ,32.74682               ,-116.984
"ALBERTSONS #725"                                                                                                                                                                                         ,1459 MAIN ST                                                                                                   ,                                                            ,Ramona                                                      ,92065,San Diego                                                   ,33.03936               ,-116.8769
"ALBERTSONS #733"                                                                                                                                                                                         ,3450 MARRON RD                                                                                                 ,                                                            ,Oceanside                                                   ,92056,San Diego                                                   ,33.17956               ,-117.2965
"ALBERTSONS #738"                                                                                                                                                                                         ,9560 WINTER GARDENS BLVD                                                                                       ,                                                            ,Lakeside                                                    ,92040,San Diego                                                   ,32.85156               ,-116.9325
"ALBERTSONS #740"                                                                                                                                                                                         ,4150 OCEANSIDE BLVD                                                                                            ,                                                            ,Oceanside                                                   ,92056,San Diego                                                   ,33.20771               ,-117.2873
"ALBERTSONS #745"                                                                                                                                                                                         ,655 14TH ST                                                                                                    ,                                                            ,San Diego                                                   ,92101,San Diego                                                   ,32.71209               ,-117.1518
"ALBERTSONS #750"                                                                                                                                                                                         ,1571 SAN ELIJO RD S                                                                                            ,                                                            ,San Marcos                                                  ,92078,San Diego                                                   ,33.09668               ,-117.2015
"ALBERTSONS #757"                                                                                                                                                                                         ,720 3RD AVE                                                                                                    ,                                                            ,Chula Vista                                                 ,91910,San Diego                                                   ,32.62652               ,-117.0758
"ALBERTSONS #758"                                                                                                                                                                                         ,543 SWEETWATER RD                                                                                              ,                                                            ,Spring Valley                                               ,91977,San Diego                                                   ,32.70822               ,-117.0086
"ALBERTSONS #3179"                                                                                                                                                                                        ,12475 RANCHO BERNARDO RD                                                                                       ,                                                            ,San Diego                                                   ,92128,San Diego                                                   ,33.0176                ,-117.0617
"ALBERTSONS #2767"                                                                                                                                                                                        ,3925 MISSION AVE                                                                                               ,                                                            ,Oceanside                                                   ,92054,San Diego                                                   ,33.2276                ,-117.324
"ALBERTSONS #3202"                                                                                                                                                                                        ,1608 BROADWAY ST                                                                                               ,                                                            ,El Cajon                                                    ,92021,San Diego                                                   ,32.80868               ,-116.9201
"ALBERTSONS #2783"                                                                                                                                                                                        ,2899 JAMACHA RD                                                                                                ,                                                            ,El Cajon                                                    ,92019,San Diego                                                   ,32.7393                ,-116.9376
"ALBERTSONS #2785"                                                                                                                                                                                        ,8650 LAKE MURRAY BLVD                                                                                          ,                                                            ,San Diego                                                   ,92119,San Diego                                                   ,32.80183               ,-117.0128
"ALBERTSONS #4786"                                                                                                                                                                                        ,1133 S MISSION RD                                                                                              ,                                                            ,Fallbrook                                                   ,92028,San Diego                                                   ,33.37188               ,-117.256
"ALBERTSONS #3797"                                                                                                                                                                                        ,1601 S MELROSE DR                                                                                              ,                                                            ,Vista                                                       ,92081,San Diego                                                   ,33.16595               ,-117.2474
"ALBERTSONS #3324"                                                                                                                                                                                        ,222 EAST HWY 246                                                                                               ,                                                            ,Buellton                                                    ,93427,Santa Barbara                                               ,34.6095                ,-120.1884
