geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score,limited_fresh_food_per_1000_people,restaurant_per_1000_people,fresh_food_access_raw,fresh_food_access_score,access_vulnerability_score,priority_area_flag,access_label
06085511608,Census Tract 5116.08; Santa Clara County; California,3316,42824,35.8,47.66,43,0,0,11,0.0,0.0,33.791,0.0,3.3172496984318456,0.030099009900990105,0.2,99.8,True,Highest access vulnerability
06085508510,Census Tract 5085.10; Santa Clara County; California,3606,174167,14.2,13.93,36,5,2,7,0.1388888888888889,1.3865779256794233,11.40974,0.5546311702717692,1.9412090959511925,0.39412396573661224,88.5,11.5,False,Strong fresh-food access
06085503305,Census Tract 5033.05; Santa Clara County; California,5874,103000,13.6,14.44,105,18,2,20,0.1714285714285714,3.0643513789581207,11.239266666666666,0.34048348655090227,3.404834865509023,0.586264767204946,98.0,2.0,False,Strong fresh-food access
06085512022,Census Tract 5120.22; Santa Clara County; California,6275,94495,17.9,6.22,6,0,1,0,0.0,0.0,11.232,0.1593625498007968,0.0,0.17743428792871654,2.9,97.1,True,Highest access vulnerability
06085512511,Census Tract 5125.11; Santa Clara County; California,4774,124625,12.3,13.24,7,0,0,0,0.0,0.0,11.169,0.0,0.0,0.1883371841997848,3.4,96.6,True,Highest access vulnerability
06085505700,Census Tract 5057; Santa Clara County; California,5636,125740,18.4,5.11,18,0,1,6,0.0,0.0,11.0685,0.177430801987225,1.0645848119233499,0.19385449326931292,3.9,96.1,True,Highest access vulnerability
06085503123,Census Tract 5031.23; Santa Clara County; California,3872,65525,12.7,12.66,5,1,0,1,0.2,0.25826446280991733,10.9204,0.0,0.25826446280991733,0.19508205850033083,4.2,95.8,True,Highest access vulnerability
06085503402,Census Tract 5034.02; Santa Clara County; California,4279,79306,14.0,12.2,14,4,1,1,0.2857142857142857,0.9347978499649451,10.78395,0.23369946249123627,0.23369946249123627,0.29140603844188123,55.6,44.4,False,Moderate fresh-food access
06085503213,Census Tract 5032.13; Santa Clara County; California,4920,72174,15.9,7.49,11,0,3,3,0.0,0.0,10.7765,0.6097560975609756,0.6097560975609756,0.16795609627761404,2.0,98.0,True,Highest access vulnerability
06085510600,Census Tract 5106; Santa Clara County; California,6602,198068,18.8,2.78,22,1,0,7,0.0454545454545454,0.1514692517418964,10.7534,0.0,1.0602847621932747,0.25329940967499065,27.7,72.3,True,Lower fresh-food access
06085500200,Census Tract 5002; Santa Clara County; California,5439,115541,15.4,9.22,20,2,0,6,0.1,0.36771465342893916,10.7009,0.0,1.1031439602868174,0.23586255947265505,16.9,83.1,True,Highest access vulnerability
06085500800,Census Tract 5008; Santa Clara County; California,4834,151357,10.9,16.32,183,13,1,80,0.0710382513661202,2.689284236657013,10.691369230769231,0.2068680182043856,16.54944145635085,0.5604016714406072,97.3,2.7,False,Strong fresh-food access
06085502001,Census Tract 5020.01; Santa Clara County; California,4956,94794,13.4,12.34,34,4,1,10,0.1176470588235294,0.8071025020177562,10.5968,0.20177562550443906,2.017756255044391,0.28254684836489713,47.1,52.9,False,Moderate fresh-food access
06085503327,Census Tract 5033.27; Santa Clara County; California,4434,172381,7.6,17.37,20,1,1,5,0.05,0.2255299954894001,10.386300000000002,0.2255299954894001,1.1276499774470004,0.24245902318364615,19.9,80.1,True,Highest access vulnerability
06085502103,Census Tract 5021.03; Santa Clara County; California,4225,91591,17.6,3.86,8,0,0,3,0.0,0.0,10.271,0.0,0.7100591715976331,0.18157838884130922,3.2,96.8,True,Highest access vulnerability
06085511501,Census Tract 5115.01; Santa Clara County; California,4680,173470,10.3,15.5,54,6,0,14,0.1111111111111111,1.2820512820512822,10.216,0.0,2.9914529914529915,0.3841128862998272,87.0,13.0,False,Strong fresh-food access
06085507704,Census Tract 5077.04; Santa Clara County; California,3367,157014,5.9,18.54,2,0,0,0,0.0,0.0,10.143999999999998,0.0,0.0,0.20552350723658738,6.4,93.6,True,Highest access vulnerability
06085506503,Census Tract 5065.03; Santa Clara County; California,6623,111225,5.9,19.68,41,4,1,10,0.0975609756097561,0.603955911218481,9.87415,0.15098897780462026,1.5098897780462026,0.26251892406492455,35.3,64.7,False,Lower fresh-food access
06085504410,Census Tract 5044.10; Santa Clara County; California,3960,153523,10.9,11.5,20,1,2,1,0.05,0.25252525252525254,9.722,0.5050505050505051,0.25252525252525254,0.24278075091442758,20.1,79.9,True,Highest access vulnerability
06085508602,Census Tract 5086.02; Santa Clara County; California,6074,180959,7.9,17.15,81,9,0,20,0.1111111111111111,1.481725386894962,9.692477777777777,0.0,3.2927230819888047,0.4159591509771804,91.2,8.8,False,Strong fresh-food access
06085509500,Census Tract 5095; Santa Clara County; California,5617,178892,7.9,14.25,9,1,1,0,0.1111111111111111,0.17803097739006588,9.6659,0.17803097739006588,0.0,0.24514525225415107,21.3,78.7,True,Lower fresh-food access
06085505402,Census Tract 5054.02; Santa Clara County; California,3051,167457,10.5,12.76,15,2,0,4,0.1333333333333333,0.6555227794165848,9.496099999999998,0.0,1.3110455588331695,0.3020291950908879,65.9,34.1,False,Above-average fresh-food access
06085504510,Census Tract 5045.10; Santa Clara County; California,3900,159186,9.3,13.96,78,5,2,13,0.0641025641025641,1.2820512820512822,9.227000000000002,0.5128205128205128,3.3333333333333335,0.3824297177497611,86.0,14.0,False,Strong fresh-food access
